index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,geographic_name,province,latitude,longitude
3844,Heritage Green Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,353,isaac brock drive,L8J 2J3,hamilton,on,43.19352179,-79.78959737
3845,Heritage Green Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,351,isaac brock drive,L8J 1Y1,hamilton,on,43.19303418,-79.79094197
3846,Heritage Heights Retirement Home Inc,retirement home,Nursing and residential care facilities,Province of Ontario,,1755,vincent massey drive,K6H 5R6,cornwall,on,45.03177703,-74.768573
3847,Heritage House Guelph,retirement home,Nursing and residential care facilities,Province of Ontario,,2113,gordon street,N1L 1G7,guelph,on,43.49214642,-80.17916512
3848,Heritage House Mississauga,retirement home,Nursing and residential care facilities,Province of Ontario,,73,king street w,L5B 1H1,mississauga,on,43.57761356,-79.61660025
3849,Heritage Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,48,wall street,K0B 1R0,vankleek hill,on,45.51589681,-74.65250390000001
385,Alexis Home,,Nursing and residential care facilities,Province of British Columbia,,1561,alexis ave,V2B 4L1,kamloops,bc,50.701098,-120.3833093
3850,Heritage Manor Retirement Home Inc,retirement home,Nursing and residential care facilities,Province of Ontario,,1545,vincent massey drive,K6H 5R6,cornwall,on,45.03161243,-74.76222209999999
3851,Heritage Place,retirement home,Nursing and residential care facilities,Province of Ontario,,4151,kilmer drive,L7M 5A9,burlington,on,43.379940000000005,-79.801331
3852,Heritage River Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,25,wellington drive,N0B 1S0,elora,on,43.69075054,-80.42694572
3853,Heron Terrace Long Term Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,11550,mcnorton street,N8P 1T9,windsor,on,42.31721678,-82.89932307
3854,Hesperus Fellowship Community of Ontario,community support service,Ambulatory health care services,Province of Ontario,,1,hesperus road,L4J 0G9,vaughan,on,43.84396791,-79.46448243
3855,Hf Connecting Health,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,3320,midland avenue,M1V 5E6,toronto,on,43.80724932,-79.28926847
3856,Highgate Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,325,fiddlers green road,L9G 1W9,hamilton,on,43.209027,-79.983869
3857,Highland Manor Retirement Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,110,belsyde street e,N1M 1Z5,fergus,on,43.70112555,-80.3684367
3858,Highland Place,retirement home,Nursing and residential care facilities,Province of Ontario,,20,fieldgate street,N2M 5K3,kitchener,on,43.43474169,-80.51927753
3859,Highland Wood,long-term care home,Nursing and residential care facilities,Province of Ontario,,7199,gelert road,K0M 1S0,haliburton,on,45.03824146,-78.52941943
386,Alfred Adult Residential,,Nursing and residential care facilities,Province of British Columbia,,3668,alfred ave,V0J 2N0,smithers,bc,54.776614,-127.17154
3860,Highview Residences,retirement home,Nursing and residential care facilities,Province of Ontario,,41,capulet walk,N6H 5W4,london,on,42.9837115,-81.299224
3861,Highview Residences Kitchener,retirement home,Nursing and residential care facilities,Province of Ontario,,20,reichert drive,N2P 0G9,kitchener,on,43.37245359,-80.42376089
3862,Hillcrest Village Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,255,russell street,L4R 5L6,midland,on,44.75357305,-79.87963994
3863,Hillel Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,10,nadolny sachs private,K2A 4G7,ottawa,on,45.37622944,-75.75281145
3864,Hillsdale Estates,long-term care home,Nursing and residential care facilities,Province of Ontario,,590,oshawa boulevard n,L1G 5T9,oshawa,on,43.91384855,-78.86330374
3865,Hillsdale Terraces,long-term care home,Nursing and residential care facilities,Province of Ontario,,600,oshawa boulevard n,L1G 5T9,oshawa,on,43.91500165,-78.86454214
3866,Hillside Haven Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,54,ranney street s,K0L 1L0,campbellford,on,44.30601757,-77.79558323
3867,Hillside Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,5066,perth east line 34,N5A 6S6,stratford,on,43.4245342,-81.09831679999999
3868,Hillside Park Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,11,mississauga avenue,P5A 1E1,elliot lake,on,46.37822187,-82.6490677
3869,Hillside Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,44,st charles street e,N0B 2B0,maryhill,on,43.53553652,-80.38805569
387,Alice Lake Place Group Home,,Nursing and residential care facilities,Province of British Columbia,,2724,alice lake pl,V3C 5W8,coquitlam,bc,49.2551287,-122.813081
3871,Hilltop Manor Nursing Home (Merrickville),long-term care home,Nursing and residential care facilities,Province of Ontario,,1005,st lawrence street,K0G 1N0,merrickville,on,44.90918586,-75.83453904
3872,Hogarth Riverview Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,300,lillie street,P7C 4Y7,thunder bay,on,48.38712316,-89.27025117
3873,Holland Bloorview Kids Rehabilitation Hospital,rehabilitation,Hospitals,Public Health Agency of Canada,,150,kilgour rd,M4G 1R8,toronto,on,43.71805689999999,-79.3741804
3877,Home and Community Support Services of Grey-Bruce,community support service,Ambulatory health care services,Province of Ontario,,340,10 street e,N4K 6P7,owen sound,on,44.56819217,-80.94068617
3878,Home Support Services - Morrisburg and District,community support service,Ambulatory health care services,Province of Ontario,,11815,lakeshore drive w,K0C 1X0,morrisburg,on,44.87651898,-75.22673964
3879,Homes First Society,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1322,bloor street w,M6H 1P2,toronto,on,43.65838018,-79.44323759999999
3880,Homewood Health Centre,psychiatric,Hospitals,Public Health Agency of Canada,,150,delhi st,N1E 6K9,guelph,on,43.557379100000006,-80.25674980000001
3881,Hong Fook Mental Health Association,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,3320,midland avenue,M1V 5E6,toronto,on,43.80724932,-79.28926847
3883,Hope Place Centres,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,775,pacific road,L6L 6M4,oakville,on,43.41330933,-79.73311187
3884,Hope Street Terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,20,hope street s,L1A 2M8,port hope,on,43.95459039,-78.28837976
3887,Horizon Place,retirement home,Nursing and residential care facilities,Province of Ontario,,760,horizon drive,N6H 5G3,london,on,42.99038528,-81.29188703
3888,Hornepayne Community Hospital,chronic care,Hospitals,Public Health Agency of Canada,,278,front st,P0M 1Z0,hornepayne,on,49.212827,-84.774059
3889,Hospice at May Court (the),community support service,Nursing and residential care facilities,Province of Ontario,,114,cameron avenue,K1S 0X1,ottawa,on,45.39004145,-75.68318573
389,Allwood Medical Centre,,Ambulatory health care services,Province of British Columbia,,102-2752,allwood street,V2T 3R7,abbotsford,bc,49.051728,-122.319815
3891,Hospice Dufferin,community support service,Nursing and residential care facilities,Province of Ontario,,30,centre street,L9W 2X1,orangeville,on,43.9153785,-80.10451754
3892,Hospice Georgian Triangle,community support service,Nursing and residential care facilities,Province of Ontario,,240,erie street,L9Y 0X8,collingwood,on,44.50132959,-80.20234612
3893,Hospice Huronia,community support service,Nursing and residential care facilities,Province of Ontario,,948,fuller ave,L9M 1G7,penetanguishene,on,44.76910765,-79.92962656
3894,Hospice Kingston,community support service,Nursing and residential care facilities,Province of Ontario,,36,barrie street,K7L 3J7,kingston,on,44.22392201,-76.4906727
3895,Hospice Lennox & Addington,community support service,Ambulatory health care services,Province of Ontario,,91,dundas street e,K7R 1J1,napanee,on,44.2404237,-76.96603370000001
3896,Hospice Niagara,community support service,Nursing and residential care facilities,Province of Ontario,,403,ontario street,L2N 1L5,st catharines,on,43.18351721,-79.26633031
3897,Hospice North Hastings,community support service,Nursing and residential care facilities,Province of Ontario,,141,hastings street n,K0L 1C0,bancroft,on,45.0624262,-77.85599012
3898,Hospice Northwest,community support service,Ambulatory health care services,Province of Ontario,,63,carrie street,P7A 4J4,thunder bay,on,48.44135877,-89.24131667
3899,Hospice of Waterloo Region,community support service,Nursing and residential care facilities,Province of Ontario,,298,lawrence avenue,N2M 1Y4,kitchener,on,43.44149309,-80.51298162
39,Boyle Mccauley Health Centre,general,Hospitals,Public Health Agency of Canada,,10628,96 st,T0A 0M0,edmonton,ab,53.55136,-113.486
390,Altesse,,Nursing and residential care facilities,Province of British Columbia,,3762,thurston st,V5H 1H7,burnaby,bc,49.2343917,-123.0214555
3900,"Hospice of Windsor and Essex County, the",community support service,Nursing and residential care facilities,Province of Ontario,,6038,empress street,N8T 1B5,windsor,on,42.31207858,-82.95423208
3902,Hospice Orillia,community support service,Ambulatory health care services,Province of Ontario,,190,memorial avenue,L3V 5X6,orillia,on,44.59835715,-79.42356608
3903,Hospice Palliative Care Ontario,community support service,Ambulatory health care services,Province of Ontario,,2,carlton street,M5B 1J3,toronto,on,43.66168609,-79.38275468
3904,Hospice Peterborough,community support service,Nursing and residential care facilities,Province of Ontario,,439,rubidge street,K9H 4E4,peterborough,on,44.30688155,-78.3273481
3905,Hospice Prince Edward,community support service,Nursing and residential care facilities,Province of Ontario,,40,downes avenue prince,K0K 2T0,edward,on,44.00844395,-77.15209159999999
3906,Hospice Simcoe,community support service,Nursing and residential care facilities,Province of Ontario,,336,penetanguishene road,L4M 7C2,barrie,on,44.4141375,-79.64634494
3907,Hospice Toronto,aids bureau,Ambulatory health care services,Province of Ontario,,55,eglinton avenue e,M4P 1G8,toronto,on,43.70685039,-79.39598279
3908,Hospice Wellington,community support service,Nursing and residential care facilities,Province of Ontario,,795,scottsdale drive,N1G 3R8,guelph,on,43.51061892,-80.22892404
3909,Hospital for Sick Children,active acute hospital,Hospitals,Canadian Institute for Health Information,,555,university avenue,M5G 1X8,toronto,on,43.657374,-79.387437
391,Amadeus Residence,,Nursing and residential care facilities,Province of British Columbia,,842,pears rd,V9C 4A2,victoria,bc,48.392091,-123.53762
3911,Hotel Dieu Grace Healthcare,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,3520,dougall avenue,N9E 1T2,windsor,on,42.26334796,-83.00722799
3913,Hotel Dieu Hospital - Religious Hospitallers of Saint Joseph of the Hotel Dieu of Kingston,general,Hospitals,Public Health Agency of Canada,,166,brock st,K7L 5G2,kingston,on,44.2309092,-76.48603179999999
3914,Hotel Dieu Hospital of Cornwall,hospital - corporation,Hospitals,Province of Ontario,,14,york st,K6J 5T2,cornwall,on,45.014927,-74.732434
3915,Hotel Dieu Shaver Health & Rehabilitation Centre,rehabilitation,Hospitals,Public Health Agency of Canada,,541,glenridge ave,L2T 4C2,st catharines,on,43.122155600000006,-79.24289549999999
3917,Hotel-Dieu Grace Healthcare Css,community support service,Ambulatory health care services,Province of Ontario,,1453,prince road,N9C 3Z4,windsor,on,42.2848987,-83.063687
3918,Hotel-Dieu Grace Healthcare Css,retirement home,Nursing and residential care facilities,Province of Ontario,,845,saint jean street,K4K 1K5,clarence-rockland,on,45.54524319,-75.29106901
3919,House of Friendship of Kitchener,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,174,king street n,N2J 2Y5,waterloo,on,43.4727515,-80.52391663
392,Amelia House,,Nursing and residential care facilities,Province of British Columbia,,2316,amelia ave,V8L 2H6,sidney,bc,48.6589243,-123.4037832
3920,House of Sophrosyne,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1771,chappell avenue,N9C 3E8,windsor,on,42.28144927,-83.05908801
3921,House of Wellness Assisted Living,retirement home,Nursing and residential care facilities,Province of Ontario,,15,milford crescent,L6S 3E3,brampton,on,43.72809588,-79.7407139
3922,Houselink Community Homes,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,805,bloor street w,M6G 1L8,toronto,on,43.66279568,-79.42151290000001
3923,Hudson Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,36,lawson street,N0P 2L0,chatham-kent,on,42.26072459,-82.42339301
3924,Humber Community Seniors' Services Inc.,community support service,Ambulatory health care services,Province of Ontario,,1167,weston road,M6M 4P5,toronto,on,43.68749609,-79.49003332
3925,Humber River Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,1315,finch avenue w,M3J 2G6,toronto,on,43.7633868,-79.48950763
3926,Humber River Hospital,mental health and addiction organization,Hospitals,Province of Ontario,,1235,wilson avenue,M3M 0B2,toronto,on,43.72377199,-79.48937432
3929,Humber River Hospital -York Finch,hospital - site,Hospitals,Province of Ontario,,2111,finch avenue w,M3N 1N1,toronto,on,43.754503,-79.526393
393,Amherst Private Hospital,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5X 1X3,vancouver,bc,49.2608724,-123.113952
3935,Humber River Regional Hospital - Church St. Site,general,Hospitals,Public Health Agency of Canada,,200,church st,M9N 1N8,weston,on,43.7086562,-79.509922
3937,Humber River Regional Hospital - Keele Street Site,general,Hospitals,Public Health Agency of Canada,,2175,keele st,M6M 3Z4,toronto,on,43.6974651,-79.47385140000002
3938,Humber Valley Terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,95,humber college boulevard,M9V 5B5,toronto,on,43.72717599,-79.59650396
3939,Hunt Club Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,1351,hunt club road,K1V 1A6,ottawa,on,45.35522785,-75.64663482
394,Amica at Edgemont Village,,Nursing and residential care facilities,Province of British Columbia,,3225,highland blvd,V7R 0A3,north vancouver,bc,49.33829,-123.101
3942,Huron County Health Unit,public health unit office,Ambulatory health care services,Province of Ontario,,77722,london road,N0M 1L0,clinton,on,43.59819557,-81.53131266
3943,Huron Hospice Volunteer Service,community support service,Ambulatory health care services,Province of Ontario,,98,shipley street,N0M 1L0,clinton,on,43.62204508,-81.54256426
3945,Huron Lodge Community Service Board Inc.,community support service,Ambulatory health care services,Province of Ontario,,100,manitoba road,P5A 3T1,elliot lake,on,46.3847048,-82.646288
3946,Huron Lodge Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,1881,cabana road w,N9G 1C7,windsor,on,42.25323436,-83.0236891
3947,Stratford General Hospital,general,Hospitals,Public Health Agency of Canada,,46,general hospital dr,N5A 2Y6,stratford,on,43.368168,-80.99548100000001
3948,Huron Perth Healthcare Alliance - Clinton Public Hospital,general,Hospitals,Public Health Agency of Canada,,98,shipley st,N0M 1L0,clinton,on,43.6218473,-81.54223409999999
3949,Huron Perth Healthcare Alliance - Seaforth Community Hospital,general,Hospitals,Public Health Agency of Canada,,24,centennial dr,N0K 1W0,seaforth,on,43.5511473,-81.3851219
395,Amica Douglas House,,Nursing and residential care facilities,Province of British Columbia,,50,douglas st,V8V 2N8,victoria,bc,48.410418,-123.3692
3950,Huron Perth Healthcare Alliance - St. Marys Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,267,queen st w,N4X 1B6,st marys,on,43.258998600000005,-81.15189840000001
3951,Huron Perth Healthcare Alliance Stratford Site - Special Services Unit,community support service,Ambulatory health care services,Province of Ontario,,90,john street s,N5A 2Y8,stratford,on,43.36818816,-80.99715857
3953,Huronia,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,3331,4 line n,L0L 2L0,shanty bay,on,44.55648523,-79.65742825
3954,Huronia District Hospital,general,Hospitals,Public Health Agency of Canada,,1112,st andrews dr,L4R 4P4,midland,on,44.742184,-79.913566
3956,Huronia Transition Homes,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,582,hugel avenue,L4R 1W3,midland,on,44.74870115,-79.88900505
3957,Huronlea Home for the Aged,long-term care home,Nursing and residential care facilities,Province of Ontario,,820,turnberry street,N0G 1H0,brussels,on,43.73846151,-81.25635699
3958,Huronview Home for the Aged,long-term care home,Nursing and residential care facilities,Province of Ontario,,,rr 5,N0M 1L0,clinton,on,43.5981871,-81.53130859999999
3959,Hutton House Association for Adults with Disabilities,community support service,Ambulatory health care services,Province of Ontario,,654,wonderland road n,N6H 3E5,london,on,42.98299228,-81.29275553
396,Amica Lions Gate,,Nursing and residential care facilities,Province of British Columbia,,701,keith rd,V7T 1M2,west vancouver,bc,49.331385100000006,-123.135713
3960,Hyland Crest,long-term care home,Nursing and residential care facilities,Province of Ontario,,6,mcpherson street,K0M 2K0,minden,on,44.92594814,-78.72985369
3964,HÔPITAL GENERAL DE HAWKESBURY AND DISTRICT GENERAL HOSPITAL INC.,general,Hospitals,Public Health Agency of Canada,,1111,rue ghislain,K6A 3G5,hawkesbury,on,45.5994979,-74.607557
3965,HÔPITAL GLENGARRY MEMORIAL HOSPITAL,general,Hospitals,Public Health Agency of Canada,,20260,county rd 43,K0C 1A0,alexandria,on,45.305873,-74.644064
3967,Casselman Satellite Centre,mental health and addiction organization,Hospitals,Province of Ontario,,710,rue principale,K0A 1M0,casselman,on,45.31256166,-75.08610963
3968,HÔPITAL MONTFORT HOSPITAL,general,Hospitals,Public Health Agency of Canada,,713,ch montréal rd,K1K 0T2,ottawa,on,45.4459814,-75.63923840000001
397,Amica on the Gorge,,Nursing and residential care facilities,Province of British Columbia,,994,gorge rd w,V9A 1P2,victoria,bc,48.453413,-123.41963
3971,HÔPITAL ÉLISABETH BRUYÈRE HOSPITAL,rehabilitation,Hospitals,Public Health Agency of Canada,,43,bruyère st,K1N 5C8,ottawa,on,45.431931,-75.6970115
3972,HÔPITALL PRIVÉ BEECHWOOD PRIVATE HOSPITAL,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,58,church st,L9M 1B3,penetanguishene,on,44.774881,-79.929456
3974,Windsor Regional Hospital - Ouellette Campus,general,Hospitals,Public Health Agency of Canada,,1030,ouellette ave,N9A 1E1,windsor,on,42.308636,-83.031988
3975,Ican-Independence Centre and Network,community support service,Ambulatory health care services,Province of Ontario,,765,brennan road,P3C 1C4,sudbury,on,46.48088398,-81.01745719
3976,Idlewyld Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,449,sanatorium road,L9C 2A7,hamilton,on,43.23618909,-79.91485732
3977,Iler Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,111,iler avenue,N8M 1T6,essex,on,42.17030086,-82.82364113
3978,Imo's Sunnyside Home,retirement home,Nursing and residential care facilities,Province of Ontario,,97,curtis drive,L6Y 2J6,brampton,on,43.66526317,-79.7554343
3979,Ina Grafton Gage Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,40,bell estate road,M1L 0E2,toronto,on,43.705765,-79.27714255
398,Amica West Vancouver,,Nursing and residential care facilities,Province of British Columbia,,659,clyde ave,V7T 1C8,west vancouver,bc,49.3285716,-123.1332044
3980,Independent Living Centre of Waterloo Region,community support service,Ambulatory health care services,Province of Ontario,,127,victoria street s,N2G 2B4,kitchener,on,43.4494997,-80.50073572
3981,"Independent Living Centre, Kingston",community support service,Ambulatory health care services,Province of Ontario,,298,concession street,K7K 2C1,kingston,on,44.24071032,-76.50913121
3982,Independent Living Halton - Joyce Scott Non-Profit Homes Inc.,community support service,Ambulatory health care services,Province of Ontario,,296,ontario street n,L9T 2T9,milton,on,43.52382994,-79.88564223
3983,Independent Living Services of Simcoe County and Area,community support service,Ambulatory health care services,Province of Ontario,,44,cedar pointe drive,L4N 5R7,barrie,on,44.3821425,-79.71277816
3984,India Rainbow Community Services of Peel,community support service,Ambulatory health care services,Province of Ontario,,3038,hurontario street,L5B 3B9,mississauga,on,43.58101986,-79.61814785
3986,Ingersoll,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,19,king street e,N5C 1G3,ingersoll,on,43.03811541,-80.8816683
3988,Ingersoll Services for Seniors,community support service,Ambulatory health care services,Province of Ontario,,250,ingersoll street,N5C 3K5,ingersoll,on,43.02532,-80.89394331
3989,Inner City Family Health Team (Formerly Seaton House),family health team - contract,Ambulatory health care services,Province of Ontario,,69,quuen street e,M5C 1R8,toronto,on,43.65289989,-79.37610058
399,Amica White Rock,,Nursing and residential care facilities,Province of British Columbia,,15333,16 ave,V4A 1R6,surrey,bc,49.0313306,-122.7979716
3991,Inspirit Residences,retirement home,Nursing and residential care facilities,Province of Ontario,,81,base line road w,N6J 4Y5,london,on,42.95800837,-81.26640392
3992,Ioof Seniors Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,10,brooks street,L4N 5L3,barrie,on,44.3686217,-79.68736455
3993,Ioof Seniors Homes Inc.,community support service,Nursing and residential care facilities,Province of Ontario,,20,brooks street,L4N 7X2,barrie,on,44.3689595,-79.68674065
3994,Iroquois Falls Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,58,anson drive,P0K 1E0,iroquois falls,on,48.76906815,-80.68543285
3996,Iroquois Lodge Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,1755,chiefswood road,N0A 1M0,ohsweken,on,43.07299235,-80.11640017
3997,Isabel and Arthur Meighen Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,155,millwood road,M4S 1J6,toronto,on,43.70000099,-79.39254279
3998,Island Park Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,18,trent drive,K0L 1L0,campbellford,on,44.29305727,-77.80340983
3999,Island View Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,30,jack crescent,K7S 3Y7,arnprior,on,45.43259743,-76.34723725
4,Agecare — Sagewood Seniors Community Inc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1P 0E2,strathmore,ab,51.0435486,-113.3998479
40,Breton Health Centre,extended care,Nursing and residential care facilities,Public Health Agency of Canada,,4919,49 ave,T0C 0P0,breton,ab,53.1092291,-114.4712943
400,Ananda House,,Nursing and residential care facilities,Province of British Columbia,,1249,e 8 ave,V5T 1V3,vancouver,bc,49.263484000000005,-123.079
4000,Islington Centre - Etobicoke Senior Citizens,community support service,Ambulatory health care services,Province of Ontario,,4968,dundas street w,M9A 1B7,toronto,on,43.64762728,-79.53001033
4002,Ivan Franko Home (Etobicoke),long-term care home,Nursing and residential care facilities,Province of Ontario,,767,royal york road,M8Y 2T3,toronto,on,43.63771778,-79.50673762
4003,Ivan Franko Home (Mississauga),community support service,Ambulatory health care services,Province of Ontario,,3058,winston churchill boulevard,L5L 3J1,oakville,on,43.52425545,-79.68407247
4004,Jah-Jireh Seniors Ministry Association,retirement home,Nursing and residential care facilities,Province of Ontario,,4505,thirty road,L0R 1B3,lincoln,on,43.1753695,-79.50264198
4005,Weeneebayko Area Heatlh Authority James Bay Ambulance Services,general,Ambulatory health care services,Public Health Agency of Canada,,78,ferguson rd,P0L 1Y0,moosonee,on,51.2711855,-80.65087079999999
4006,James Bay General Hospital - Attawapiskat,general,Hospitals,Public Health Agency of Canada,,,general delivery,P0L 1A0,attawapiskat,on,52.922733,-82.426001
4007,James Bay General Hospital - Fort Albany,general,Hospitals,Public Health Agency of Canada,,,general delivery,P0L 1H0,fort albany,on,52.20669,-81.6849
4008,James Club,retirement home,Nursing and residential care facilities,Province of Ontario,,239,james street e,K9A 0K6,cobourg,on,43.9639789,-78.15720372
4009,Jane-Finch Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,1,york gate boulevard,M3N 3A1,toronto,on,43.758747,-79.51881
401,Ancron Medical Centre,,Ambulatory health care services,Province of British Columbia,,108-402,baker street,V1L 4H8,nelson,bc,49.491628000000006,-117.294835
4010,Jane/Finch Community and Family Centre,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,4400,jane street,M3N 2K4,toronto,on,43.76521760000001,-79.52008044
4012,Jardin Royal Garden Inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,2802,saint joseph boulevard,K1C 1G5,ottawa,on,45.47293607,-75.51997248
4013,Jardins Belle Rive,retirement home,Nursing and residential care facilities,Province of Ontario,,2950,laurier street,K4K 1T3,clarence-rockland,on,45.53800249,-75.30540212
4015,Jarlette Health Services — Avalon Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9W 3Y3,orangeville,on,43.9193171,-80.0973754
402,Anderson Manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V 4C8,victoria,bc,48.4283182,-123.364953
4028,Jean Tweed Treatment Centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,291,sherbourne street,M5B 2C2,toronto,on,43.66057999,-79.37141808
403,Apple Gate Respite Home,,Nursing and residential care facilities,Province of British Columbia,,710,applegate rd,V9W 7A2,campbell river,bc,49.961599,-125.22528
4030,John Gordon Home (London Regional Aids Hospice),community support service,Ambulatory health care services,Province of Ontario,,596,pall mall street,N5Y 2Z9,london,on,42.99711068,-81.23650961
4031,John Joseph Place,retirement home,Nursing and residential care facilities,Province of Ontario,,854,2 avenue w,N4K 4M5,owen sound,on,44.56460677,-80.94596167
4032,John Noble Home,community support service,Nursing and residential care facilities,Province of Ontario,,97,mount pleasant street,N3T 1T5,brantford,on,43.12596315,-80.27606552
4036,Joseph Brant Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,1230,north shore blvd,L8S 1W7,burlington,on,43.31715,-79.80261999999999
4037,Sunnyside Home,community support service,Nursing and residential care facilities,Province of Ontario,,247,franklin street n,N2A 1Y5,kitchener,on,43.440994,-80.4451854
4038,k-w Working Centre for the Unemployed,community support service,Ambulatory health care services,Province of Ontario,,58,queen street s,N2V 1V6,kitchener,on,43.449186,-80.490003
4039,Kapuskasing and Area Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,217,tucotte park road,P0H 1V0,kapuskasing,on,46.311051,-78.713595
404,Apple Plaza Walk-in Clinic,,Ambulatory health care services,Province of British Columbia,,162-1848,main street,V2A 5H3,penticton,bc,49.47786,-119.5822
4040,Kashechewan First Nation,community support service,Hospitals,Province of Ontario,,27,st andrews school rd,P0L 1S0,kashechewan,on,51.29000711,-80.61581067
4041,Kawartha Heights Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,2300,denure drive,K9K 2G3,peterborough,on,44.28807634,-78.37245642
4042,Kawartha Lakes Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,60,west street,K0M 1A0,kawartha lakes,on,44.53823228,-78.55655859999999
4043,Kawartha North Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,50,colborne street,K0M 1N0,kawartha lakes,on,44.53732307,-78.73569846
4044,Kawartha Participation Projects,community support service,Ambulatory health care services,Province of Ontario,,77,towerhill road,K9H 7N3,peterborough,on,44.33352525,-78.32968141
4045,Keewaywin First Nation,community support service,Ambulatory health care services,Province of Ontario,,,band office road,P0V 3G0,keewaywin,on,51.72089909,-91.81886147
4046,Kelso Pines Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,1685,3 avenue w,N4K 4R3,owen sound,on,44.57711707,-80.94868257
4047,Kelso Villa Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,1475,2 avenue w,N4K 6Z2,owen sound,on,44.57314977,-80.94715427
4048,Kemptville and District Home Support Inc.,community support service,Ambulatory health care services,Province of Ontario,,215,sanders street,K0G 1J0,kemptville,on,45.01839769,-75.64804449
4049,Kemptville District Hospital,general,Hospitals,Public Health Agency of Canada,,2675,concession rd,K0G 1J0,kemptville,on,45.0099179,-75.64134820000001
405,Applecross,,Nursing and residential care facilities,Province of British Columbia,,6408,dover rd,V9V 1A7,nanaimo,bc,49.241761,-124.04279
4051,Kennedy Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,1400,kennedy road,M1P 4V6,toronto,on,43.76265941,-79.28056556
4052,Kenora Association for Community Living,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,501,eighth avenue s,P9N 3Z9,kenora,on,49.75990494,-94.47858969
4053,Kenora Chiefs Advisory Inc.,community support service,Ambulatory health care services,Province of Ontario,,115,chipman street,P9N 3X4,kenora,on,49.7717933,-94.4906894
4054,Kenora Sexual Assault Centre,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,101,chipman street,P9N 1V7,kenora,on,49.76635954,-94.48791289
